StandardName	StandardZnfContent	alleva.2021	berg.2010	berg.2011	borel.2012	hussin.2013	jeffreys.2013	ponting.2011
pr001	zn027_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0189	NA	NA	NA	NA	Jeffreys001	NA
pr002	ZN001_ZN002_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0391	NA	NA	NA	NA	Jeffreys002	NA
pr003	ZN001_ZN002_ZN003_ZN003_ZN002_ZN003_ZN004_ZN004_ZN022_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	L27v:0078	NA	NA	NA	NA	Jeffreys003	NA
pr004	ZN001_ZN002_ZN003_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0339	NA	NA	NA	NA	Jeffreys004	NA
pr005	ZN001_ZN002_ZN003_ZN003_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0358	NA	NA	NA	NA	Jeffreys005	NA
pr006	ZN001_ZN002_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0139	NA	NA	NA	NA	Jeffreys006	NA
pr007	ZN001_ZN002_ZN003_ZN003_ZN003_zn002_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0290	NA	NA	NA	NA	Jeffreys007	NA
pr008	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0190	NA	NA	NA	NA	Jeffreys008	NA
pr009	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0022	NA	NA	NA	NA	Jeffreys009	NA
pr010	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN011_ZN007_ZN008_ZN006_ZN009_ZN010	Dv:0508	NA	NA	NA	NA	Jeffreys010	NA
pr011	ZN001_ZN002_ZN003_ZN003_ZN004_ZN004_ZN005_zn012_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0092	NA	NA	NA	NA	Jeffreys011	NA
pr012	ZN001_ZN002_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0003	NA	NA	NA	NA	Jeffreys012	NA
pr013	ZN001_ZN002_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0132	NA	NA	NA	NA	Jeffreys013	NA
pr014	ZN001_ZN002_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0203	NA	NA	NA	NA	Jeffreys014	NA
pr015	ZN001_ZN002_ZN003_ZN004_zn030_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0490	NA	NA	NA	NA	Jeffreys015	NA
pr016	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0354	NA	NA	NA	NA	Jeffreys016	NA
pr017	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN004_ZN003_zn002_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0117	NA	NA	NA	NA	Jeffreys017	NA
pr018	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0157	NA	NA	NA	NA	Jeffreys018	NA
pr019	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0212	NA	NA	NA	NA	Jeffreys019	NA
pr020	ZN001_ZN002_ZN003_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0302	NA	NA	NA	NA	Jeffreys020	NA
pr021	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0085	NA	NA	NA	NA	Jeffreys021	NA
pr022	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0213	NA	NA	NA	NA	Jeffreys022	NA
pr023	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN005_ZN003_ZN004_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0463	NA	NA	NA	NA	Jeffreys023	NA
pr024	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0101	NA	NA	NA	NA	Jeffreys024	NA
pr025	ZN001_ZN002_ZN003_ZN004_ZN003_ZN004_ZN018_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L16v:0379	NA	NA	NA	NA	Jeffreys025	NA
pr026	ZN001_ZN002_ZN003_ZN004_ZN004_ZN002_zn002_zn029_ZN002_zn002_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0239	NA	NA	NA	NA	Jeffreys026	NA
pr027	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_zn032_ZN009_ZN010	L14v:0275	NA	NA	NA	NA	Jeffreys027	NA
pr028	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0099	NA	NA	NA	NA	Jeffreys028	NA
pr029	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN003_ZN004_ZN014_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0090	NA	NA	NA	NA	Jeffreys029	NA
pr030	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN004_ZN004_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0415	NA	NA	NA	NA	Jeffreys030	NA
pr031	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0242	NA	NA	NA	NA	Jeffreys031	NA
pr032	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0363	NA	NA	NA	NA	Jeffreys032	NA
pr033	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN003_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Av:0357	NA	NA	NA	NA	Jeffreys033	NA
pr034	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN006_ZN006_ZN007_ZN006_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0096	NA	NA	NA	NA	Jeffreys034	NA
pr035	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN007_zn011_ZN008_ZN006_ZN010	L12v:0087	NA	NA	NA	NA	Jeffreys035	NA
pr036	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN006_ZN007_ZN008_ZN006_ZN008_zn004_ZN010	L12v:0271	NA	NA	NA	NA	Jeffreys036	NA
pr037	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0086	NA	NA	NA	NA	Jeffreys037	NA
pr038	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0263	NA	NA	NA	NA	Jeffreys038	NA
pr039	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0150	NA	NA	NA	NA	Jeffreys039	NA
pr040	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN011_ZN008_ZN008_ZN017_ZN010	Rv:0266	NA	NA	NA	NA	Jeffreys041	NA
pr041	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN007_ZN008_ZN006_ZN010	L12v:0089	NA	NA	NA	NA	Jeffreys042	NA
pr042	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN007_ZN008_ZN007_ZN007_ZN008_ZN012_ZN008_ZN009_ZN010	Rv:0273	NA	NA	NA	NA	Jeffreys043	NA
pr043	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN012_ZN008_ZN009_ZN010	Rv:0270	NA	NA	NA	NA	Jeffreys044	NA
pr044	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_zn004_ZN017_ZN017_ZN010	L12v:0091	NA	NA	NA	NA	Jeffreys045	NA
pr045	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN011_ZN008_zn007_ZN008_ZN006_ZN010	L12v:0100	NA	NA	NA	NA	Jeffreys046	NA
pr046	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN008_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0268	NA	NA	NA	NA	Jeffreys047	NA
pr047	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0136	NA	NA	NA	NA	Jeffreys048	NA
pr048	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0196	NA	NA	NA	NA	Jeffreys049	NA
pr049	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN018_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0240	NA	NA	NA	NA	Jeffreys051	NA
pr050	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0333	NA	NA	NA	NA	Jeffreys052	NA
pr051	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN010	L12v:0264	NA	NA	NA	NA	Jeffreys053	NA
pr052	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0234	NA	NA	NA	NA	Jeffreys054	NA
pr053	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0181	NA	NA	NA	NA	Jeffreys055	NA
pr054	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN004_ZN018_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Rv:0375	NA	NA	NA	NA	Jeffreys056	NA
pr055	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0401	NA	NA	NA	NA	Jeffreys057	NA
pr056	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_zn031_ZN004_ZN004_ZN003_ZN003_ZN004_ZN004_ZN003_ZN003_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0274	NA	NA	NA	NA	Jeffreys058	NA
pr057	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_zn033_ZN009_ZN010	L14v:0284	NA	NA	NA	NA	Jeffreys059	NA
pr058	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0364	NA	NA	NA	NA	Jeffreys060	NA
pr059	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0412	NA	NA	NA	NA	Jeffreys061	NA
pr060	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0198	NA	NA	NA	NA	Jeffreys062	NA
